	1	
5월 9일이야.	玛丽：五月九号。 	mǎlì ：wǔyuè jiǔhào 。 
4일은 장리잉의 생일이야.	王兰：四号是张丽英的生日。 	wánglán ：sìhào shì zhānglìyīng de shēngrì 。 
4일이 무슨 요일이지?	玛丽：四号星期几？ 	mǎlì ：sìhào xīngqī jǐ ？ 
일요일이야.	王兰：星期天。 	wánglán ：xīngqītiān 。 
넌 그녀의 집에 갈꺼니?	玛丽：你去她家吗？ 	mǎlì ：nǐ qù tājiā mǎ ？ 
갈꺼야. 넌?	王兰：去。你呢？ 	wánglán ：qù 。 nǐ ní ？ 
나도 가.	玛丽：我也去。 	mǎlì ：wǒ yě qù 。 
우리 오전에 가자. 어때?	王兰：我们上午去，好吗？ 	wánglán ：wǒmen shàngwǔ qù ， hào mǎ ？ 
좋아.	玛丽：好。 	mǎlì ：hào 。 
13	13	
리우징, 너희 가족은 몇 명이니?	大卫：刘京，你家有几口人？ 	dàwèi ：liújīng ， nǐjiā yǒu jǐkǒu rén ？ 
4명이야. 너희 집은?	刘京：四口人 。你家呢？ 	liújīng ：sìkǒu rén 。 nǐjiā ní ？ 
3명이야. 아버지, 어머니, 그리고 나.	大卫：三口人。爸爸、妈妈和我。 	dàwèi ：sānkǒu rén 。 bàba māma hé wǒ 。 
너희 아버지는 무슨 일을 하시는데?	刘京：你爸爸做什么工作？ 	liújīng ：nǐ bàba zuò shénme gōngzuò ？ 
아버지는 선생님이야. 대학에서 학생들을 가르치셔.	大卫：他是老师。他在大学工作。 	dàwèi ：tā shì lǎoshī 。 tā zai dàxué gōngzuò 。 
가즈코, 너희 가족 성원은 어떻게 되니?	大卫：和子，你家有什么人？ 	dàwèi ：hézi ， nǐjiā yǒu shénme rén ？ 
아버지와 어머니, 그리고 남동생이 한 명 있어.	和子：爸爸、妈妈和一个弟弟。 	
남동생은 학생이야?	大卫：你弟弟是学生吗？ 	dàwèi ：nǐ dìdi shì xuésheng mǎ ？ 
응. 그 애는 영어를 배워.	和子：是。他学习英语。 	hézi ：shì 。 tā xuéxí yīngyǔ 。 
너희 어머니는 직장에 다니시니?	大卫：你妈妈工作吗？ 	dàwèi ：nǐ māma gōngzuò mǎ ？ 
안 다니셔.	和子：她不工作 。 	hézi ：tā bù gōngzuò 。 
14	14	
너희 가족 성원은 어떻게 되니?	王兰：你家有谁？ 	wánglán ：nǐjiā yǒu shuí ？ 
아버지와 어머지, 그리고 언니가 있어.	玛丽：爸爸、妈妈、姐姐。 	mǎlì ：bàba māma jiějie 。 
너희 언니는 직장에 다녀?	王兰：你姐姐工作吗？ 	wánglán ：nǐ jiějie gōngzuò mǎ ？ 
응. 언니는 은행에서 직원으로 일하고 있어.너희 오빠는 어떤 일을 하시는데?	玛丽：工作。她是职员，在银行工作。你哥哥做什么工作？ 	mǎlì ：gōngzuò 。 tā shì zhíyuán ， zai yínháng gōngzuò 。 nǐ gēge zuò shénme gōngzuò ？ 
오빠는 의사야.	王兰：他是大夫。 	wánglán ：tā shì dàfū 。 
결혼했어?	玛丽：他结婚了吗？ 	mǎlì ：tā jiéhūn le mǎ ？ 
응. 오빠의 부인도 의사야.	王兰：结婚了。他爱人也是大夫。 	wánglán ：jiéhūn le 。 tā àiren yě shì dàfū 。 
자녀는 있으시니?	玛丽：他们有孩子吗？ 	mǎlì ：tāmen yǒu háizi mǎ ？ 
없어.	王兰：没有。 	wánglán ：méiyǒu 。 
15	15	
지금이 몇 시니?	玛丽：现在几点？ 	mǎlì ：xiànzài jǐdiǎn ？ 
지금은 7시 25분이야.	王兰：现在七点二十五分。 	wánglán ：xiànzài qīdiǎn èrshíwǔfèn 。 
너는 몇 시에 수업이 시작하니?	玛丽：你几点上课？ 	mǎlì ：nǐ jǐdiǎn shàngkè ？ 
8시요	王兰：八点。 	wánglán ：bādiǎn 。 
교실에는 언제 가는데?	玛丽：你什么时候去教室？ 	mǎlì ：nǐ shénme shíhou qù jiàoshì ？ 
8시 15분전에 가.	王兰：差一刻八点去。 	wánglán ：chāi yīkè bādiǎn qù 。 
지금 교실에 가는 거야?	玛丽：现在你去教室吗？ 	mǎlì ：xiànzài nǐ qù jiàoshì mǎ ？ 
아니, 난 밥 먹으러 가.	王兰：不去，我去吃饭。 	wánglán ：bùqù ， wǒ qù chīfàn 。 
16	16	
내일 만리장성에 가는 게 어때?	刘京: 明天去长城，好吗? 	liújīng : míngtiān qù chángchéng ， hào mǎ ? 
좋아. 언제 갈까?	大卫: 好，什么时候去? 	dàwèi : hào ， shénme shíhou qù ? 
아침 7시	刘京: 早上七点。 	liújīng : zǎoshang qīdiǎn 。 
너무 이르잖아. 7시 반에 가자. 넌 몇 시에 일어나니?	大卫: 太早了。七点半吧。你几点起床? 	dàwèi : tàizǎo le 。 qīdiǎn bàn bā 。 nǐ jǐdiǎn qǐchuáng ? 
6시 반, 너는?	刘京: 六点半。你呢? 	liújīng : liùdiǎnbàn 。 nǐ ní ? 
나도 6시 반에 일어나.	大卫: 我也六点半起床。 	dàwèi : wǒ yě liùdiǎnbàn qǐchuáng 。 
17	17	
넌 어디에 살고 있니?	刘京：你住在哪儿？ 	liújīng ：nǐ zhù zai nǎr ？ 
유학생 기숙사에 살고 있어.	大卫：住在留学生宿舍。 	dàwèi ：zhù zai liúxuéshēng sùshè 。 
몇 동인데?	刘京：几号楼？ 	liújīng ：jǐhàolóu ？ 
9동이야.	大卫：九号楼。 	dàwèi ：jiǔhào lóu 。 
방은 몇 호실이야?	刘京：多少号房间？ 	liújīng ：duōshǎo hào fángjiān ？ 
308호실이야. 너희집은 어디에 있어?	大卫：308号房间。你家在哪儿？ 	dàwèi ：308 hào fángjiān 。 nǐjiā zai nǎr ？ 
우리집은 쉬에위엔로 25호에 있어. 우리집에 놀러 와.	刘京：我家在学院路25号，欢迎你去玩儿。 	liújīng ：wǒjiā zai xuéyuànlù 25 hào ， huānyíng nǐ qù wánr 。 
감사합니다!	大卫：谢谢! 	dàwèi ：xièxie ! 
18	18	
장리잉의 집이 어디에 있니?	大卫：张丽英家在哪儿？ 	dàwèi ：zhānglì yīngjiā zai nǎr ？ 
나는 모르겠어. 왕란이 알꺼야. 걘 자주 가거든.	玛丽：我不知道。王兰知道。 她常去。 	mǎlì ：wǒ bù zhīdào 。 wánglán zhīdào 。 tā chángqù 。 
그 애한테 물어볼게.	大卫：好，我去问她。 	dàwèi ：hào ， wǒ qù wèn tā 。 
왕란, 장리잉의 집이 어디에 있니?	大卫：王兰，张丽英家在哪儿？ 	dàwèi ：wánglán ， zhānglì yīngjiā zai nǎr ？ 
똥쓰따졔 97호야. 그녀의 집에 가려고?	王兰：东四大街97号。你去她家吗？ 	wánglán ：dōngsì dàjiē 97 hào 。 nǐ qù tājiā mǎ ？ 
응. 난 내일 걔네 집에 갈꺼야.	大卫：对，明天我去她家。 	dàwèi ：duì ， míngtiān wǒ qù tājiā 。 
넌 길을 잘 모를테니까 우리 같이 가자.	王兰：你不认识路，我们一起去吧! 	wánglán ：nǐ bù rènshi lù ， wǒmen yīqǐ qù bā ! 
그러면 정말 좋지!	大卫：那太好了。 	dàwèi ：nà tàihǎole 。 
19	19	
실례합니다. 8동이 어디에 있죠?	学生：勞驾，八楼在哪儿？ 	xuésheng ：láojià ， bālóu zai nǎr ？ 
9동 옆에 있는데요.	刘京：在九楼旁边	liújīng ：zai jiǔlóu pángbiān
어떻게 가야 하지요?	学生：怎么走？ 	xuésheng ：zěnme zǒu ？ 
보세요. 저 건물이 바로 8동이에요.	刘京：你看，那个楼就是。 	liújīng ：nǐ kàn ， nàgè lóu jiùshì 。 
말씀 좀 묻겠습니다. 우체국이 어디에 있나요?	和子：请问，邮局在哪儿？ 	hézi ：qǐngwèn ， yóujú zai nǎr ？ 
저 앞쪽에 있어요.	 A ：在前边。 	 A ：zai qiánbian 。 
어떻게 가야 하지요?	和子：怎么走？ 	hézi ：zěnme zǒu ？ 
이 앞으로 쭉 가세요.	 A ：往前走。 	 A ：wǎngqiánzǒu 。 
여기에서 멀리 있나요?	和子：离这儿远不远？ 	hézi ：lí zhèr yuǎn bùyuǎn ？ 
그다지 멀지 않아요. 은행 바로 옆에 있습니다.	 A ：不太远。 就在银行旁边。 	 A ：bùtàiyuǎn 。 jiù zai yínháng pángbiān 。 
20	20	
말씀 좀 묻겠습니다. 백화점이 어디에 있어요?	玛丽: 请问，百货大楼在什么地方? 	mǎlì : qǐngwèn ， bǎihuòdàlóu zai shénme dìfāng ? 
왕푸징에 있어요.	B: 王府井。 	b : wángfǔjǐng 。 
여기서 먼가요?	玛丽: 远吗? 	mǎlì : yuǎn mǎ ? 
멀지 않아요.	B: 不远。	b : bùyuǎn 。
어디에서 타나요?	玛丽: 在哪儿坐汽车? 	mǎlì : zai nǎr zuò qìchē ? 
저기에서요.	B: 在那儿。 	b : zai nàr 。 
감사합니다!	玛丽: 谢谢! 	mǎlì : xièxie ! 
이십 일	21	
뭘 드릴까요?	售货员：您要什么? 	shòuhuòyuán ：nín yào shénme ? 
사과를 사려고 하는데요. 한근에 얼마에요?	大卫：我要苹果。多少钱一斤？ 	dàwèi ：wǒyào píngguǒ 。 duōshǎoqián yījīn ？ 
2위안 5마오 입니다.	售货员：两块五毛。 	shòuhuòyuán ：liǎngkuài wǔmáo 。 
저건요?	大卫：那种呢？ 	dàwèi ：nàzhǒng ní ？ 
1위안 3마오 입니다.	售货员：一块三。	shòuhuòyuán ：yīkuài sān 。 
이걸로 주세요.	要这种吗? 	yào zhèzhǒng mǎ ? 
얼마나 드릴까요?	要多少？	yào duōshǎo ？ 
두 근 주세요.	大卫：两斤。 	dàwèi ：liǎngjīn 。 
또 필요한 것이 있으세요?	售货员：还要别的吗？ 	shòuhuòyuán ：huányào biéde mǎ ？ 
됐습니다.	大卫：不要了。 	dàwèi ：bùyào le 。 
스물 둘	22	
뭘 사시겠습니까?	售货员：您要买什么? 	shòuhuòyuán ：nín yào mǎi shénme ? 
귤을 사려고 하는데요. 한 근에 얼마예요?	玛丽：我要买橘子。一斤多少钱？ 	mǎlì ：wǒyào mǎi júzi 。 yījīn duōshǎoqián ？ 
2위안 8마오입니다.	售货员：两块八。 	shòuhuòyuán ：liǎngkuài bā 。 
너무 비싸네요.	玛丽：太贵了。 	mǎlì ：tàiguì le 。 
저건 쌉니다.	售货员：那种便宜。 	shòuhuòyuán ：nàzhǒng piányi 。 
저건 좋은 거예요? 	玛丽：那种好不好？	mǎlì ：nàzhǒng hǎobuhǎo ？
한 번 드셔보시죠.	售货员：您尝尝。 	shòuhuòyuán ：nín chángcháng 。 
좋네요. 4개만 주세요.	玛丽：好。我要四个。 	mǎlì ：hào 。 wǒyào sìge 。 
여기 한 근 반이고, 3위안 7마오 5펀입니다. 또 사실 것이 있으세요? 	售货员：这是一斤半，三块七毛五分。还买别的吗？ 	shòuhuòyuán ：zhèshì yījīn bàn ， sānkuài qīmáo wǔfēn 。 hái mǎi biéde mǎ ？ 
됐습니다.	玛丽：不要了。 	mǎlì ：bùyào le 。 
이십 삼	23	
날씨가 추워지네. 스웨터를 한 벌 사야겠다.	大卫：天冷了。我想买件毛衣。 	dàwèi ：tiānlěng le 。 wǒxiǎng mǎijiàn máoyī 。 
나도 물건을 사야하는데, 우리 언제 갈까?	玛丽：我也要买东西。我们什么时候去？ 	mǎlì ：wǒ yě yào mǎi dōngxi 。 wǒmen shénme shíhou qù ？ 
일요일에 가는 게 어때?	大卫：星期天去，怎么样？ 	dàwèi ：xīngqītiān qù ， zěnmeyàng ？ 
일요일에는 사람이 너무 많아.	玛丽：星期天人太多。 	mǎlì ：xīngqītiān réntàiduō 。 
그럼 내일 오후에 가자.	大卫：那明天下午去吧。 	dàwèi ：nà míngtiān xiàwǔ qù bā 。 
이십사	24	
아가씨, 저 스웨터를 좀 보여주세요.	大卫：小姐，我看看那件毛衣。 	dàwèi ：xiǎojie ， wǒ kànkan nà jiàn máoyī 。 
그러죠.	售货员：好。 	shòuhuòyuán ：hào 。 
좀 입어봐도 될까요?	大卫：我可以试试吗？ 	dàwèi ：wǒ kěyǐ shìshi mǎ ？ 
입어보세요.	售货员：您试一下儿吧。 	shòuhuòyuán ：nín shìyīxià r bā 。 
너무 짧은데.	玛丽：这件太短了。 	mǎlì ：zhèjiàn tàiduǎn le 。 
저걸로 입어보시죠.	售货员：您试试那件。 	shòuhuòyuán ：nín shìshi nà jiàn 。 
그러죠. 다시 입어볼께요.	大卫：好，我再试一下儿。 	dàwèi ：hào ， wǒ zàishìyīxià r 。 
이건 딱 맞는다.	玛丽：这件不大也不小。 	mǎlì ：zhèjiàn bùdà yě bùxiǎo 。 
정말 좋은데! 난 이걸로 살래.	大卫：好极了，我就买这件。 	dàwèi ：hàojíle ， wǒ jiù mǎi zhèjiàn 。 
25	25	
말씀 좀 묻겠습니다. 이 버스가 톈안먼에 가나요?	玛丽：请问，这路车到天安门吗？ 	mǎlì ：qǐngwèn ， zhèlù chēdào tiānānmén mǎ ？ 
갑니다. 타세요.	售票员：到。上车吧。 	shòupiàoyuán ：dào 。 shàngchē bā 。 
표 두 장 주세요. 한 장에 얼마지요?	大卫：买两张票。多少钱一张？ 	dàwèi ：mǎi liǎngzhāng piào 。 duōshǎoqián yīzhāng ？ 
2위안입니다.	售票员：两块。 	shòupiàoyuán ：liǎngkuài 。 
여기 5위안이요.	大卫：给你五块钱。 	dàwèi ：gěi nǐ wǔkuài qián 。 
1위안 받아가세요.	售票员：找你一块。 	shòupiàoyuán ：zhǎo nǐ yīkuài 。 
실례지만, 톈안먼까지는 몇 정거장 남았습니까?	玛丽：请问，到天安门还有几站? 	mǎlì ：qǐngwèn ， dào tiānānmén háiyǒu jǐzhàn ? 
세 정거장 남았습니다. 중국어를 할 수 있으세요?	A : 三站。你们会说汉语? 	A : sānzhàn 。 nǐmen huì shuō hànyǔ ? 
조금 할 줄 알아요.	大卫：会说一点儿。 	dàwèi ：huì shuō yīdiǎnr 。 
제가 중국어로 하는 말을 알아들을 수 있으세요?	玛丽：我说汉语，你懂吗? 	mǎlì ：wǒ shuō hànyǔ ， nǐ dǒngmǎ ? 
예. 당신들은 어느 나라 사람이지요?	A : 懂。你们是哪国人? 	A : dǒng 。 nǐmen shì nǎ guórén ? 
저는 프랑스 사람입니다.	大卫：我是法国人。 	dàwèi ：wǒ shì fǎguórén 。 
저는 미국 사람이에요.	玛丽：我是美国人。 	mǎlì ：wǒ shì měiguó rén 。 
톈안먼에 다 왔습니다. 내리세요.	售票员：天安门到了。请下车吧。 	shòupiàoyuán ：tiānānmén dào le 。 qǐng xiàchē bā 。 
26	26	
표 한 장 주세요.	大卫：我买一张票。 	dàwèi ：wǒ mǎi yīzhāng piào 。 
어디까지 가십니까?	售票员：去哪儿？ 	shòupiàoyuán ：qù nǎr ？ 
 어언대학에 가요. 갈아타야 하나요	大卫：去语言大学。要换车吗？ 	dàwèi ：qù yǔyán dàxué 。 yào huànchē mǎ ？ 
갈아타셔야 합니다.	售票员：要换车。	shòupiàoyuán ：yào huànchē 。
어디에서 갈아타야 하죠?	大卫：在哪儿换车？ 	dàwèi ：zai nǎr huànchē ？ 
베이징사범대학이요.	售票员：北京师范大学。 	shòupiàoyuán ：běijīngshīfàndàxué 。 
몇 번으로 갈아타야 합니까?	大卫：换几路车？ 	dàwèi ：huàn jǐlù chē ？ 
726번으로 갈아타세요.	售票员：换726路。 	shòupiàoyuán ：huàn 726 lù 。 
표 한 장 얼마예요?	大卫：一张票多少钱? 	dàwèi ：yīzhāng piào duōshǎoqián ? 
2위안이요.	售票员：两块。 	shòupiàoyuán ：liǎngkuài 。 
감사합니다.	大卫：谢谢! 	dàwèi ：xièxie ! 
아니예요.	售票员：不谢。 	shòupiàoyuán ：bùxiè 。 
27	27	
돈을 다 써버려서 이제 돈이 없어. 환전하러 가야겠다.	玛丽：钱都花了，我没钱了。我要去换钱。 	mǎlì ：qián dōu huā le ， wǒ méi qián le 。 wǒyào qù huànqián 。 
듣자니 호텔에서 환전할 수 있다던데.	大卫：听说，饭店里可以换钱。 	dàwèi ：tīngshuō ， fàndiàn lǐ kěyǐ huànqián 。 
우리 가서 물어보자.	玛丽：我们去问问吧。	mǎlì ：wǒmen qù wènwèn bā 。
28	28	
실례합니다. 여기에서 환전할 수 있을까요?	玛丽：请问，这儿能不能换钱？ 	mǎlì ：qǐngwèn ， zhèr néng bùnéng huànqián ？ 
예. 어느 나라 돈을 갖고 계십니까?	营业员：能。您带的是什么钱？ 	yíngyèyuán ：néng 。 nín dài de shì shénme qián ？ 
미국 달러인데요.	玛丽：美元。 	mǎlì ：měiyuán 。 
얼마나 바꿔드릴까요?	营业员：换 多少？ 	yíngyèyuán ：huàn duōshǎo ？ 
500달러만 바꿔주세요. 1달러가 인민폐로 얼마나 되죠?	玛丽：五百美元。一美元换多少人民币？ 	mǎlì ：wǔbǎi měiyuán 。 yīměiyuán huàn duōshǎo rénmínbì ？ 
8위안 2마오 7펀입니다. 금액 좀 써주시겠어요? 이름도 써 주시구요.	营业员：八块二毛七。请您写一下儿钱数。再写一下儿名字。 	yíngyèyuán ：bākuài èrmáo qī 。 qǐng nín xiě yīxià érqiánshù 。 zài xiě yīxià r míngzì 。 
이렇게 쓰면 되나요?	玛丽：这样写，对不对？ 	mǎlì ：zhèyàng xiě ， duì bù duì ？ 
예, 맞습니다. 여기 있습니다. 한번 세어보세요.	营业员：对。给您钱，请数一数。 	yíngyèyuán ：duì 。 gěi nín qián ， qǐng shùyīshù 。 
감사합니다.	玛丽：谢谢! 	mǎlì ：xièxie ! 
너무 늦었어. 빨리 가자.	大卫：时间不早了。我们快走吧! 	dàwèi ：shíjiān bùzǎole 。 wǒmen kuài zǒu bā ! 
29	29	
[베이징의 한 우체국에서]	[在北京某邮局] 	[ zai běijīng mǒu yóujú ] 
기념우표 있어요?	和子：有纪念邮票吗? 	hézi ：yǒu jìniànyóupiào mǎ ? 
예. 이건 새로 나온 우표입니다.	营业员：有，这是新出的。 	yíngyèyuán ：yǒu ， zhèshì xīnchū de 。 
좋네요. 두 세트 살께요. 예쁜 걸로 더 없나요?	和子：好。买两套。还有好看的吗? 	hézi ：hào 。 mǎi liǎngtào 。 háiyǒu hǎokàn de mǎ ? 
한 번 보세요, 이런 종류들은 어떻습니까?	营业员：你看看，这几种怎么样? 	yíngyèyuán ：nǐ kànkan ， zhè jǐzhǒng zěnmeyàng ? 
제가 고르는 걸 좀 도와주세요.	和子：请你帮我挑挑。 	hézi ：qǐng nǐ bāng wǒ tiāotiāo 。 
제가 보기엔 이 네 가지가 모두 좋은 것같은데요?	营业员：我看这四种都很好	yíngyèyuán ：wǒ kàn zhè sìzhǒng dōu hěn hào
그럼 종류별로 한 세트씩 살께요.	和子：那一样买一套吧。 	hézi ：nà yīyàng mǎi yītào bā 。 
전화카드를 사시겠습니까?	营业员：买电话卡吗? 	yíngyèyuán ：mǎi diànhuàkǎ mǎ ? 
아니요, 있습니다.	和子：不，我有。 	hézi ：bù ， wǒ yǒu 。 
30	30	
이공원 괜찮네	和子：这个公园不错。 	hézi ：zhège gōngyuán bùcuò 。 
저런 꽃 정말 이뻐	张丽英 : 那种花真好看。 	zhānglìyīng : nàzhǒng huāzhēn hǎokàn 。 
메리한테 전화해서 오라하자	和子：给玛丽打个电话，叫她来吧。 	hézi ：gěi mǎlì dǎgè diànhuà ， jiào tā lái bā 。 
에효     내 폰 배터리가 떨어졌어	张丽英 : 哎呀，我的手机没电了。 	zhānglìyīng : āiyā ， wǒ de shǒujī mòdiàn le 。 
내가걸께	和子：我打吧。 	hézi ：wǒ dǎ bā 。 
그려        난 음료수 사러갈께	张丽英 : 也好。 我去买点儿饮料。 	zhānglìyīng : yěhǎo 。 wǒ qù mǎidiǎnér yǐnliào 。 
전화통화 되었냐	张丽英 : 你打通电话了吗? 	zhānglìyīng : nǐ dǎtōng diànhuà le mǎ ? 
통화 안되써    전화기 꺼져있어	和子：没打通，她关机了。 	hézi ：méi dǎtōng ， tā guānjī le 。 
31	31	
너 경극을 본 적이 있니?	玛丽：你看过京剧吗? 	mǎlì ：nǐ kànguò jīngjù mǎ ? 
본 적 없어.	大卫：没看过。 	dàwèi ：méi kànguò 。 
아주 재미있다고 하던데.	玛丽：听说很有意思。 	mǎlì ：tīngshuō hěn yǒuyìsi 。 
난 굉장히 보고 싶어. 너는?	大卫：我很想看，你呢? 	dàwèi ：wǒ hěn xiǎng kàn ， nǐ ní ? 
